chodba               chod-b-a
přičísnout           při-čís-nou-t
pročísnout           pro-čís-nou-t
sčísnout             s-čís-nou-t
rozčísnout           roz-čís-nou-t
křísnout             křís-nou-t
zatnout              za-t-nou-t
setnout              se-t-nou-t
rozetnout            roze-t-nou-t
přetnout             pře-t-nou-t
protnout             pro-t-nou-t
vytnout              vy-t-nou-t
mrznout              mrz-nou-t
namrznout            na-mrz-nou-t
přemrznout           pře-mrz-nou-t
přimrznout           při-mrz-nou-t
omrznout             o-mrz-nou-t
pomrznout            po-mrz-nou-t
promrznout           pro-mrz-nou-t
umrznout             u-mrz-nou-t
vymrznout            vy-mrz-nou-t
zmrznout             z-mrz-nou-t
rozmrznout           roz-mrz-nou-t
vrznout              vrz-nou-t
zavrznout            za-vrz-nou-t
zvrznout             z-vrz-nou-t
podklouznout         pod-klouz-nou-t
proklouznout         pro-klouz-nou-t
sklouznout           s-klouz-nou-t
vklouznout           v-klouz-nou-t
vyklouznout          vy-klouz-nou-t
hryznout             hryz-nou-t
nahryznout           na-hryz-nou-t
zahryznout           za-hryz-nou-t
přehryznout          pře-hryz-nou-t
ohryznout            o-hryz-nou-t
pohryznout           po-hryz-nou-t
prohryznout          pro-hryz-nou-t
uhryznout            u-hryz-nou-t
vyhryznout           vy-hryz-nou-t
rozhryznout          roz-hryz-nou-t
vypláznout           vy-pláz-nou-t
máznout              máz-nou-t
namáznout            na-máz-nou-t
přimáznout           při-máz-nou-t
promáznout           pro-máz-nou-t
umáznout             u-máz-nou-t
vymáznout            vy-máz-nou-t
nalíznout            na-líz-nou-t
oblíznout            ob-líz-nou-t
olíznout             o-líz-nou-t
ulíznout             u-líz-nou-t
vylíznout            vy-líz-nou-t
naříznout            na-říz-nou-t
zaříznout            za-říz-nou-t
obříznout            ob-říz-nou-t
podříznout           pod-říz-nou-t
přeříznout           pře-říz-nou-t
přiříznout           při-říz-nou-t
uříznout             u-říz-nou-t
vříznout             v-říz-nou-t
vyříznout            vy-říz-nou-t
sedět                sed-ě-t
nasedět              na-sed-ě-t
přesedět             pře-sed-ě-t
posedět              po-sed-ě-t
prosedět             pro-sed-ě-t
vysedět              vy-sed-ě-t
rozsedět             roz-sed-ě-t
trpět                trp-ě-t
přetrpět             pře-trp-ě-t
dotrpět              do-trp-ě-t
potrpět              po-trp-ě-t
protrpět             pro-trp-ě-t
strpět               s-trp-ě-t
utrpět               u-trp-ě-t
vytrpět              vy-trp-ě-t
slabost              slab-ost
radost               rad-ost
žádost               žád-ost
mnohost              mnoh-ost
tuhost               tuh-ost
celost               cel-ost
veselost             vesel-ost
rychlost             rychl-ost
místnost             míst-n-ost
jedinost             jedin-ost
zdatnost             zdatn-ost
pevnost              pevn-ost
rovnost              rovn-ost
starost              star-ost
míst                 míst
koryt                koryt
svět                 svět
volbu                vol-b-u
západu               zá-pad-u
řadu                 řad-u
vedu                 ved-u
uvedu                u-ved-u
středu               střed-u
brodu                brod-u
vodu                 vod-u
řádu                 řád-u
děkuju               děk-uj-u
ukazuju              u-kaz-uj-u
zimu                 zim-u
podzimu              pod-zim-u
popadnu              po-pad-n-u
propadnu             pro-pad-n-u
stáhnu               s-táh-n-u
utáhnu               u-táh-n-u
řeknu                řek-n-u
neřeknu              ne-řek-n-u
cenu                 cen-u
jaru                 jar-u
vlasu                vlas-u
času                 čas-u
nesu                 nes-u
pusu                 pus-u
světu                svět-u
hlavu                hlav-u
faxu                 fax-u
chodbou              chod-b-ou
řadou                řad-ou
dovedou              do-ved-ou
provedou             pro-ved-ou
řekou                řek-ou
zimou                zim-ou
popadnou             po-pad-n-ou
zvládnou             z-vlád-n-ou
táhnou               táh-n-ou
přetáhnou            pře-táh-n-ou
stáhnou              s-táh-n-ou
hlavou               hlav-ou
fax                  fax
volby                vol-b-y
předvolby            před-vol-b-y
platby               plat-b-y
řady                 řad-y
středy               střed-y
řády                 řád-y
řeky                 řek-y
volaly               vol-a-l-y
vyvolaly             vy-vol-a-l-y
dělaly               děl-a-l-y
udělaly              u-děl-a-l-y
dojímaly             do-jím-a-l-y
přivedly             při-ved-l-y
zvedly               z-ved-l-y
musely               mus-e-l-y
slyšely              slyš-e-l-y
chodily              chod-i-l-y
spálily              s-pál-i-l-y
prosily              pros-i-l-y
platily              plat-i-l-y
nesly                nes-l-y
ceny                 cen-y
vlasy                vlas-y
lesy                 les-y
pusy                 pus-y
místy                míst-y
kopyty               kopyt-y
koryty               koryt-y
světy                svět-y
hlavy                hlav-y
faxy                 fax-y
mladá                mlad-á
práská               prásk-á
zapráská             za-prásk-á
píská                písk-á
zapíská              za-písk-á
celá                 cel-á
veselá               vesel-á
volá                 vol-á
povolá               po-vol-á
zlá                  zl-á
bílá                 bíl-á
posílá               po-síl-á
nedělá               ne-děl-á
udělá                u-děl-á
neudělá              ne-u-děl-á
nezajímá             ne-za-jím-á
přijímá              při-jím-á
řádná                řád-n-á
jedná                jedn-á
červená              červen-á
nečervená            ne-červen-á
jediná               jedin-á
pěkná                pěkn-á
černá                čern-á
špatná               špatn-á
stará                star-á
dobrá                dobr-á
modrá                modr-á
lysá                 lys-á
čistá                čist-á
žlutá                žlut-á
nová                 nov-á
slabé                slab-é
šedé                 šed-é
mnohé                mnoh-é
celé                 cel-é
veselé               vesel-é
bílé                 bíl-é
školné               škol-n-é
cenné                cen-n-é
zelené               zelen-é
červené              červen-é
jediné               jedin-é
pěkné                pěkn-é
černé                čern-é
špatné               špatn-é
pevné                pevn-é
rovné                rovn-é
dobré                dobr-é
modré                modr-é
čisté                čist-é
žluté                žlut-é
ošklivé              oškliv-é
cílové               cíl-ov-é
cenové               cen-ov-é
syrové               syr-ov-é
sírové               sír-ov-é
časové               čas-ov-é
světové              svět-ov-é
faxové               fax-ov-é
nové                 nov-é
vrací                vrac-í
odvrací              od-vrac-í
nevrací              ne-vrac-í
vidí                 vid-í
nevidí               ne-vid-í
chodí                chod-í
nechodí              ne-chod-í
neprochodí           ne-pro-chod-í
soudí                soud-í
jezdí                jezd-í
pálí                 pál-í
pílí                 píl-í
západní              zá-pad-n-í
východní             vý-chod-n-í
řádní                řád-n-í
školní               škol-n-í
zimní                zim-n-í
podzimní             pod-zim-n-í
jarní                jar-n-í
lesní                les-n-í
hlavní               hlav-n-í
trpí                 trp-í
koupí                koup-í
nakoupí              na-koup-í
prosí                pros-í
musí                 mus-í
nemusí               ne-mus-í
pověsí               po-věs-í
platí                plat-í
zaplatí              za-plat-í
neplatí              ne-plat-í
vyplatí              vy-plat-í
radostí              rad-ost-í
malostí              mal-ost-í
rychlostí            rychl-ost-í
pevností             pevn-ost-í
opustí               o-pust-í
dopustí              do-pust-í
nevynutí             ne-vy-nut-í
mluví                mluv-í
nemluví              ne-mluv-í
domluví              do-mluv-í
vězí                 věz-í
vaří                 vař-í
suší                 suš-í
slyší                slyš-í
nedrží               ne-drž-í
vydrží               vy-drž-í
nevydrží             ne-vy-drž-í
poběží               po-běž-í
mladý                mlad-ý
šedý                 šed-ý
hnědý                hněd-ý
mnohý                mnoh-ý
celý                 cel-ý
veselý               vesel-ý
rychlý               rychl-ý
zlý                  zl-ý
bílý                 bíl-ý
řádný                řád-n-ý
cenný                cen-n-ý
zelený               zelen-ý
červený              červen-ý
pěkný                pěkn-ý
černý                čern-ý
špatný               špatn-ý
dobrý                dobr-ý
modrý                modr-ý
žlutý                žlut-ý
špinavý              špin-av-ý
ošklivý              oškliv-ý
zimový               zim-ov-ý
sírový               sír-ov-ý
faxový               fax-ov-ý
růžový               růž-ov-ý
nový                 nov-ý
chodbě               chod-b-ě
volbě                vol-b-ě
západě               zá-pad-ě
řadě                 řad-ě
vodě                 vod-ě
zimě                 zim-ě
ceně                 cen-ě
místě                míst-ě
městě                měst-ě
létě                 lét-ě
světě                svět-ě
hlavě                hlav-ě
vedeš                ved-e-š
dovedeš              do-ved-e-š
děláš                děl-á-š
vidíš                vid-í-š
chodíš               chod-í-š
pochodíš             po-chod-í-š
pustíš               pust-í-š
opustíš              o-pust-í-š
vězíš                věz-í-š
vlasů                vlas-ů
časů                 čas-ů
světů                svět-ů
faxů                 fax-ů
